aaaaaaaaa
Node Name                                                                     Ops                                                                                                       Time(us)  Time(%)  Start Time       End Time         Shape             Inputs  Outputs  
Rcnn_ctcV3/conv_block3_2/unit3/static_batch_normalization_30/batchnorm/add_1  fuse_broadcast_mul_broadcast_mul_broadcast_sub_broadcast_add                                              44.15     0.03     13:08:04.619151  13:08:04.619196  (192,)            4       1        
pad121                                                                        fuse_pad                                                                                                  9.94      0.01     13:08:04.619203  13:08:04.619214  (1, 54, 6, 192)   1       1        
broadcast_add323                                                              fuse_conv2d_broadcast_add                                                                                 615.69    0.46     13:08:04.619234  13:08:04.619853  (1, 54, 6, 192)   3       1        
pad122                                                                        fuse_pad                                                                                                  10.29     0.01     13:08:04.619865  13:08:04.619878  (1, 1, 192, 192)  1       1        
broadcast_add324                                                              fuse_conv2d_broadcast_add                                                                                 608.74    0.45     13:08:04.619894  13:08:04.620505  (192,)            3       1        
pad123                                                                        fuse_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_mul_pad    17.54     0.01     13:08:04.620513  13:08:04.620532  (1, 54, 6, 192)   3       1        
Rcnn_ctcV3/conv_block3_2/unit3/static_batch_normalization_31/batchnorm/mul    fuse_broadcast_add___pow_scalar___broadcast_mul                                                           6.5       0.0      13:08:04.620567  13:08:04.620575  (1, 54, 6, 192)   3       1        
Rcnn_ctcV3/conv_block3_2/unit3/static_batch_normalization_31/batchnorm/add_1  fuse_conv2d_broadcast_add_broadcast_mul_broadcast_mul_broadcast_sub_broadcast_add                         6161.11   4.57     13:08:04.620592  13:08:04.626757  (1, 1, 192, 192)  6       1        
pad124                                                                        fuse_pad                                                                                                  9.63      0.01     13:08:04.626772  13:08:04.626783  (192,)            1       1        
broadcast_add326                                                              fuse_conv2d_broadcast_add                                                                                 606.03    0.45     13:08:04.626800  13:08:04.627409  (1, 54, 6, 192)   3       1        
pad125                                                                        fuse_pad                                                                                                  8.22      0.01     13:08:04.627417  13:08:04.627427  (1, 56, 8, 192)   1       1        
broadcast_add327                                                              fuse_conv2d_broadcast_add                                                                                 612.98    0.45     13:08:04.627444  13:08:04.628060  (3, 3, 192, 192)  3       1        
pad126                                                                        fuse_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_mul_pad    19.21     0.01     13:08:04.628070  13:08:04.628091  (192,)            3       1        
Rcnn_ctcV3/conv_block3_2/unit3/add_16/add                                     fuse_conv2d_broadcast_add_broadcast_add                                                                   6106.89   4.53     13:08:04.628109  13:08:04.634220  (192,)            4       1        
pad128                                                                        fuse_pad_1                                                                                                12.09     0.01     13:08:04.634230  13:08:04.634244  (1,)              1       1        
Rcnn_ctcV3/expand_conv4/static_batch_normalization_32/batchnorm/mul           fuse_broadcast_add___pow_scalar___broadcast_mul_1                                                         8.86      0.01     13:08:04.634278  13:08:04.634288  (192,)            3       1        
Rcnn_ctcV3/expand_conv4/static_batch_normalization_32/batchnorm/add_1         fuse_conv2d_broadcast_add_broadcast_mul_broadcast_mul_broadcast_sub_broadcast_add_1                       2293.69   1.7      13:08:04.634306  13:08:04.636602  (192,)            6       1        
pad129                                                                        fuse_pad_2                                                                                                11.35     0.01     13:08:04.636612  13:08:04.636625  (192,)            1       1        
broadcast_add331                                                              fuse_conv2d_broadcast_add_1                                                                               357.24    0.26     13:08:04.636642  13:08:04.637002  (192,)            3       1        
pad130                                                                        fuse_pad_2                                                                                                8.76      0.01     13:08:04.637010  13:08:04.637021  (1, 54, 6, 192)   1       1        
broadcast_add332                                                              fuse_conv2d_broadcast_add_1                                                                               349.28    0.26     13:08:04.637037  13:08:04.637388  (1, 54, 6, 192)   3       1        
pad131                                                                        fuse_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_mul_pad_1  23.09     0.02     13:08:04.637397  13:08:04.637421  (1, 1, 192, 192)  3       1        
pad127                                                                        fuse_pad                                                                                                  9.18      0.01     13:08:04.637439  13:08:04.637450  (192,)            1       1        
broadcast_add329                                                              fuse_conv2d_broadcast_add_2                                                                               267.94    0.2      13:08:04.637476  13:08:04.637747  (1, 54, 6, 192)   3       1        
Rcnn_ctcV3/expand_conv4/add_17/add                                            fuse_conv2d_broadcast_add_broadcast_add_1                                                                 2923.33   2.17     13:08:04.637755  13:08:04.640682  (1, 54, 6, 192)   4       1        
Rcnn_ctcV3/conv_block4/unit1/static_batch_normalization_33/batchnorm/mul      fuse_broadcast_add___pow_scalar___broadcast_mul_1                                                         10.81     0.01     13:08:04.640710  13:08:04.640722  (1, 1, 192, 192)  3       1        
Rcnn_ctcV3/conv_block4/unit1/static_batch_normalization_33/batchnorm/add_1    fuse_broadcast_mul_broadcast_mul_broadcast_sub_broadcast_add_1                                            47.08     0.03     13:08:04.640743  13:08:04.640791  (192,)            4       1        
pad132                                                                        fuse_pad_2                                                                                                11.52     0.01     13:08:04.640798  13:08:04.640811  (1, 54, 6, 192)   1       1        
broadcast_add334                                                              fuse_conv2d_broadcast_add_1                                                                               359.28    0.27     13:08:04.640827  13:08:04.641188  (1, 56, 8, 192)   3       1        
pad133                                                                        fuse_pad_2                                                                                                8.54      0.01     13:08:04.641199  13:08:04.641210  (3, 3, 192, 192)  1       1        
broadcast_add335                                                              fuse_conv2d_broadcast_add_1                                                                               331.6     0.25     13:08:04.641228  13:08:04.641562  (192,)            3       1        
pad134                                                                        fuse_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_mul_pad_1  20.36     0.02     13:08:04.641569  13:08:04.641592  (1, 54, 6, 192)   3       1        
Rcnn_ctcV3/conv_block4/unit1/static_batch_normalization_34/batchnorm/mul      fuse_broadcast_add___pow_scalar___broadcast_mul_1                                                         7.0       0.01     13:08:04.641630  13:08:04.641639  (192,)            3       1        
Rcnn_ctcV3/conv_block4/unit1/static_batch_normalization_34/batchnorm/add_1    fuse_conv2d_broadcast_add_broadcast_mul_broadcast_mul_broadcast_sub_broadcast_add_2                       3069.54   2.28     13:08:04.641655  13:08:04.644728  (1,)              6       1        
pad135                                                                        fuse_pad_2                                                                                                9.79      0.01     13:08:04.644739  13:08:04.644751  (192,)            1       1        
broadcast_add337                                                              fuse_conv2d_broadcast_add_1                                                                               341.45    0.25     13:08:04.644767  13:08:04.645111  (192,)            3       1        
pad136                                                                        fuse_pad_2                                                                                                8.7       0.01     13:08:04.645119  13:08:04.645130  (192,)            1       1        
broadcast_add338                                                              fuse_conv2d_broadcast_add_1                                                                               356.66    0.26     13:08:04.645147  13:08:04.645506  (192,)            3       1        
pad137                                                                        fuse_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_mul_pad_1  21.66     0.02     13:08:04.645514  13:08:04.645537  (1, 54, 6, 192)   3       1        
Rcnn_ctcV3/conv_block4/unit1/add_18/add                                       fuse_conv2d_broadcast_add_broadcast_add_1                                                                 2862.3    2.12     13:08:04.645554  13:08:04.648420  (1, 54, 6, 192)   4       1        
Rcnn_ctcV3/conv_block4_1/unit2/static_batch_normalization_35/batchnorm/mul    fuse_broadcast_add___pow_scalar___broadcast_mul_1                                                         10.29     0.01     13:08:04.648452  13:08:04.648464  (1, 1, 192, 192)  3       1        
Rcnn_ctcV3/conv_block4_1/unit2/static_batch_normalization_35/batchnorm/add_1  fuse_broadcast_mul_broadcast_mul_broadcast_sub_broadcast_add_1                                            48.33     0.04     13:08:04.648479  13:08:04.648529  (192,)            4       1        
pad138                                                                        fuse_pad_2                                                                                                9.39      0.01     13:08:04.648537  13:08:04.648548  (1, 54, 6, 192)   1       1        
broadcast_add340                                                              fuse_conv2d_broadcast_add_1                                                                               331.98    0.25     13:08:04.648568  13:08:04.648902  (1, 54, 6, 192)   3       1        
pad139                                                                        fuse_pad_2                                                                                                9.12      0.01     13:08:04.648911  13:08:04.648922  (1, 1, 192, 192)  1       1        
broadcast_add341                                                              fuse_conv2d_broadcast_add_1                                                                               330.47    0.25     13:08:04.648939  13:08:04.649274  (192,)            3       1        
pad140                                                                        fuse_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_mul_pad_1  20.12     0.01     13:08:04.649282  13:08:04.649304  (1, 54, 6, 192)   3       1        
Rcnn_ctcV3/conv_block4_1/unit2/static_batch_normalization_36/batchnorm/mul    fuse_broadcast_add___pow_scalar___broadcast_mul_1                                                         7.07      0.01     13:08:04.649338  13:08:04.649346  (1, 56, 8, 192)   3       1        
Rcnn_ctcV3/conv_block4_1/unit2/static_batch_normalization_36/batchnorm/add_1  fuse_conv2d_broadcast_add_broadcast_mul_broadcast_mul_broadcast_sub_broadcast_add_2                       3048.92   2.26     13:08:04.649363  13:08:04.652415  (3, 3, 192, 192)  6       1        
pad141                                                                        fuse_pad_2                                                                                                11.36     0.01     13:08:04.652426  13:08:04.652439  (192,)            1       1        
broadcast_add343                                                              fuse_conv2d_broadcast_add_1                                                                               339.08    0.25     13:08:04.652459  13:08:04.652801  (192,)            3       1        
pad142                                                                        fuse_pad_2                                                                                                9.16      0.01     13:08:04.652809  13:08:04.652820  (1,)              1       1        
broadcast_add344                                                              fuse_conv2d_broadcast_add_1                                                                               331.58    0.25     13:08:04.652837  13:08:04.653171  (192,)            3       1        
pad143                                                                        fuse_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_mul_pad_1  19.73     0.01     13:08:04.653179  13:08:04.653200  (192,)            3       1        
Rcnn_ctcV3/static_batch_normalization_37/batchnorm/mul                        fuse_broadcast_add___pow_scalar___broadcast_mul_1                                                         6.49      0.0      13:08:04.653237  13:08:04.653245  (192,)            3       1        
Rcnn_ctcV3/static_batch_normalization_37/batchnorm/add_1                      fuse_conv2d_broadcast_add_broadcast_add_broadcast_mul_broadcast_mul_broadcast_sub_broadcast_add           2912.17   2.16     13:08:04.653261  13:08:04.656177  (192,)            7       1        
pad144                                                                        fuse_pad_2                                                                                                10.77     0.01     13:08:04.656187  13:08:04.656200  (1, 54, 6, 192)   1       1        
broadcast_add346                                                              fuse_conv2d_broadcast_add_1                                                                               334.56    0.25     13:08:04.656218  13:08:04.656555  (1, 54, 6, 192)   3       1        
pad145                                                                        fuse_pad_2                                                                                                9.41      0.01     13:08:04.656563  13:08:04.656574  (1, 1, 192, 192)  1       1        
broadcast_add347                                                              fuse_conv2d_broadcast_add_1                                                                               329.77    0.24     13:08:04.656590  13:08:04.656922  (192,)            3       1        
Rcnn_ctcV3/activation/max_36/mul                                              fuse_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_mul        19.02     0.01     13:08:04.656930  13:08:04.656951  (1, 54, 6, 192)   3       1        
broadcast_add348                                                              fuse_conv2d_broadcast_add_3                                                                               10935.89  8.11     13:08:04.656975  13:08:04.667916  (1, 54, 6, 192)   3       1        
NNVM 0.25682906433939934
